id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
76,Red Tarn,England,,88482,718.4,449,54.52838,-3.0089,https://tarns.netlify.app/?id=76,"https://www.google.com/maps/@?api=1&map_action=map&center=54.52838,-3.0089&zoom=15&basemap=satellite",0.773,1.7,8.85
77,(unnamed),Scotland,,5500,717.4,115,56.89952,-4.26855,https://tarns.netlify.app/?id=77,"https://www.google.com/maps/@?api=1&map_action=map&center=56.89952,-4.26855&zoom=15&basemap=satellite",0.756,1.65,0.55
78,Lochan nan Cat,Scotland,,123524,717.3,810,56.55597,-4.20636,https://tarns.netlify.app/?id=78,"https://www.google.com/maps/@?api=1&map_action=map&center=56.55597,-4.20636&zoom=15&basemap=satellite",0.524,2.71,12.35
79,(unnamed),Scotland,,5673,716.4,299,57.1108,-3.60321,https://tarns.netlify.app/?id=79,"https://www.google.com/maps/@?api=1&map_action=map&center=57.1108,-3.60321&zoom=15&basemap=satellite",0.473,7.45,0.57
80,Lochan Uaine,Scotland,,6279,715.1,153,57.58904,-5.40031,https://tarns.netlify.app/?id=80,"https://www.google.com/maps/@?api=1&map_action=map&center=57.58904,-5.40031&zoom=15&basemap=satellite",0.633,2.28,0.63
81,(unnamed),Scotland,,14964,714.8,168,57.06955,-4.50054,https://tarns.netlify.app/?id=81,"https://www.google.com/maps/@?api=1&map_action=map&center=57.06955,-4.50054&zoom=15&basemap=satellite",0.829,1.03,1.5
82,(unnamed),Scotland,,14265,713.3,243,57.0662,-4.4896,https://tarns.netlify.app/?id=82,"https://www.google.com/maps/@?api=1&map_action=map&center=57.0662,-4.4896&zoom=15&basemap=satellite",0.521,2.13,1.43
83,(unnamed),Scotland,,17166,710.9,373,57.17337,-5.59267,https://tarns.netlify.app/?id=83,"https://www.google.com/maps/@?api=1&map_action=map&center=57.17337,-5.59267&zoom=15&basemap=satellite",0.359,2.66,1.72
84,(unnamed),Scotland,,16488,708.9,186,57.07588,-4.46233,https://tarns.netlify.app/?id=84,"https://www.google.com/maps/@?api=1&map_action=map&center=57.07588,-4.46233&zoom=15&basemap=satellite",0.661,1.1,1.65
85,Llyn y Cwn,Wales,,9413,708.0,139,53.1059,-4.03776,https://tarns.netlify.app/?id=85,"https://www.google.com/maps/@?api=1&map_action=map&center=53.1059,-4.03776&zoom=15&basemap=satellite",0.687,1.08,0.94
86,(unnamed),Scotland,,13558,707.5,170,57.69515,-5.36578,https://tarns.netlify.app/?id=86,"https://www.google.com/maps/@?api=1&map_action=map&center=57.69515,-5.36578&zoom=15&basemap=satellite",0.787,1.68,1.36
87,Loch na Caillich,Scotland,,23355,707.0,312,56.7377,-4.13742,https://tarns.netlify.app/?id=87,"https://www.google.com/maps/@?api=1&map_action=map&center=56.7377,-4.13742&zoom=15&basemap=satellite",0.678,2.64,2.34
88,(unnamed),Scotland,pond,7723,706.7,117,57.22452,-4.23656,https://tarns.netlify.app/?id=88,"https://www.google.com/maps/@?api=1&map_action=map&center=57.22452,-4.23656&zoom=15&basemap=satellite",0.722,1.13,0.77
89,(unnamed),Scotland,,13455,705.9,180,57.69615,-5.36879,https://tarns.netlify.app/?id=89,"https://www.google.com/maps/@?api=1&map_action=map&center=57.69615,-5.36879&zoom=15&basemap=satellite",0.669,1.56,1.35
90,(unnamed),Scotland,,5731,702.8,886,56.95969,-4.62627,https://tarns.netlify.app/?id=90,"https://www.google.com/maps/@?api=1&map_action=map&center=56.95969,-4.62627&zoom=15&basemap=satellite",0.045,6.1,0.57
91,Lochan Odhar,Scotland,,9091,699.3,229,57.11081,-3.73654,https://tarns.netlify.app/?id=91,"https://www.google.com/maps/@?api=1&map_action=map&center=57.11081,-3.73654&zoom=15&basemap=satellite",0.418,1.99,0.91
92,Lochan a' Chreachain,Scotland,,46912,699.3,345,56.56538,-4.65801,https://tarns.netlify.app/?id=92,"https://www.google.com/maps/@?api=1&map_action=map&center=56.56538,-4.65801&zoom=15&basemap=satellite",0.721,1.79,4.69
93,Loch Monaidh,Scotland,,24951,699.2,296,56.78954,-4.35318,https://tarns.netlify.app/?id=93,"https://www.google.com/maps/@?api=1&map_action=map&center=56.78954,-4.35318&zoom=15&basemap=satellite",0.537,1.66,2.5
94,Loch An Sgòir,Scotland,,163346,698.9,649,56.84165,-4.47791,https://tarns.netlify.app/?id=94,"https://www.google.com/maps/@?api=1&map_action=map&center=56.84165,-4.47791&zoom=15&basemap=satellite",0.671,1.73,16.33
95,Loch Coire na Sguile,Scotland,,13684,698.1,198,57.45147,-4.91477,https://tarns.netlify.app/?id=95,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45147,-4.91477&zoom=15&basemap=satellite",0.623,1.72,1.37
96,(unnamed),Scotland,,11356,698.0,174,57.65938,-5.33638,https://tarns.netlify.app/?id=96,"https://www.google.com/maps/@?api=1&map_action=map&center=57.65938,-5.33638&zoom=15&basemap=satellite",0.706,1.74,1.14
97,Loch Coir' a' Ghrunnda,Scotland,lake,32836,695.8,276,57.20181,-6.22072,https://tarns.netlify.app/?id=97,"https://www.google.com/maps/@?api=1&map_action=map&center=57.20181,-6.22072&zoom=15&basemap=satellite",0.614,1.39,3.28
98,(unnamed),Scotland,,13297,694.6,240,57.13255,-4.56037,https://tarns.netlify.app/?id=98,"https://www.google.com/maps/@?api=1&map_action=map&center=57.13255,-4.56037&zoom=15&basemap=satellite",0.606,2.6,1.33
99,(unnamed),Scotland,,8302,693.7,402,57.11006,-3.59,https://tarns.netlify.app/?id=99,"https://www.google.com/maps/@?api=1&map_action=map&center=57.11006,-3.59&zoom=15&basemap=satellite",0.376,7.3,0.83
